Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,DE>NO,NO>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2020,1,3,9,01/03/2020 08:00:00,5407.97177085653,1969.70083395488,26148.3594619587,6461.8913513286,279.17131781303,7648.2141243065,8229.81494072018,3194.24684065185,7929.19477949126,2059.5,2178.95234213748,62323.017763219,9184,2776,11960,0,615,4590,3,800,0,2087,199,249,1345,3096,552,125,7,550,0,463,55,0,0,28.81,17969.6506087046,271.23898141144
2020,1,3,10,01/03/2020 09:00:00,5401.79732594715,1809.46192439911,26014.6287467583,6014.02254806698,1851.93666557067,7800.48489634572,8618.12491426925,3345.51823867477,7956.49803078819,998.25,2173.14017107184,63382.863461892,8601,3037,11638,0,615,4619,19,802,2,2044,0,242,1698,2771,650,214,0,478,0,468,53,0,0,29.28,18516.5030370699,273.370978631969
2020,1,3,11,01/03/2020 10:00:00,5420.60131726208,1820.83587622562,26641.2942760637,5500.7347061267,3423.334866816,7807.2692376742,8833.02733366745,3375.4699754833,7936.64553264094,738.75,2171.30474863005,65069.2678705901,8600,2595,11195,0,203,4715,4,800,0,1926,0,134,1788,1553,550,1110,0,493,0,464,50,0,0,28.85,18764.5592003653,269.635316939791
2020,1,3,12,01/03/2020 11:00:00,5460.73520917305,1838.90038795007,27251.2131277851,4922.02782550775,4352.44763657965,7762.54283928644,9301.50948513266,3359.73775008892,7866.42828430842,589.75,2176.50511221511,65599.7976580271,9282,3240,12522,0,615,4315,13,803,3,2182,0,79,1900,4035,456,126,203,515,0,467,50,0,0,31.8,19244.9998556271,271.336549923519
2020,1,3,13,01/03/2020 12:00:00,5463.26111845416,1832.20982805212,26967.4904307448,3833.05244319523,4441.58558918204,7786.41366988665,9676.50011921963,3459.57687278404,7884.25203523479,1372.25,2170.08113366886,65446.6732404223,9440,3738,13178,0,615,4459,8,810,10,1879,33,288,1884,4726,1134,3,0,540,0,473,54,0,0,37.94,19730.762381121,281.237627107722
2020,1,3,14,01/03/2020 13:00:00,5465.22571456169,1825.18474015928,26639.1099268136,4539.82967261202,3134.0466648119,7765.30683019804,9634.7491128288,3422.36410887041,7684.78478690227,653.75,2167.32800000619,64231.6795577642,8700,3976,12676,0,615,4621,13,800,3,1583,0,163,1840,4268,1453,278,0,500,0,463,52,0,0,37.9,19575.3638373431,283.771886489037
2020,1,3,15,01/03/2020 14:00:00,5465.50637114848,2026.57059308741,26269.2267871307,5421.72863633785,1795.61022926363,7733.64657066514,9616.81923278366,3272.90796762377,7458.99378764337,271.25,2159.68040649876,64073.9405821827,7418,5514,12932,0,615,4732,64,800,2,1854,14,269,1763,3511,2749,747,251,560,0,459,56,0,0,38.11,19336.0315594597,284.63134437183
2020,1,3,16,01/03/2020 15:00:00,5485.71364539736,1949.62915426105,26847.3512219895,4865.16358419476,656.777184512144,7711.78591527337,9423.68881058313,3300.43936206394,7475.12903745809,1788,2159.37450275846,63482.0524184918,8181,4363,12544,0,615,4886,25,800,1,2039,0,475,1665,2219,1752,1127,249,540,0,458,56,0,0,37.91,19153.5132075904,287.511177812512
2020,1,3,17,01/03/2020 16:00:00,5514.62127383673,2033.59568098025,27029.137620692,6022.32573374543,34.1786628076678,7639.67087967064,9536.13477258052,3300.13681926789,7657.74378764337,2097.75,2165.18667382411,63676.4819050486,9354,3282,12636,0,615,4802,12,799,13,1510,0,690,1493,2568,1035,1298,58,510,0,459,56,0,0,38.44,19354.3224655173,286.027159509382
2020,1,3,18,01/03/2020 17:00:00,5542.68693251573,1887.07241921527,27616.2421580234,6232.92471595328,0,7512.77856963795,9170.36521965962,3446.26498975803,7591.76428727282,2913.75,2165.18667382411,64888.0359658602,9191,2024,11215,0,615,4396,1,802,7,1909,0,525,1339,1179,0,1341,7,580,0,483,55,0,0,40.47,19050.1424137906,280.824660945072
