Year,Month,Day,Hour,Date/Time,Biomass,Hydro,Wind onshore,Wind offshore,PV,Nuclear,Lignite,Hard Coal,Natural Gas,Pump,Others,Consumption,Exportsaldo,Imports,Exports,DE>SE,SE>DE,DE>AT,AT>DE,DE>CH,CH>DE,DE>CZ,CZ>DE,DE>DK,DK>DE,DE>FR,FR>DE,DE>NL,NL>DE,DE>PL,PL>DE,DE>LX,LX>DE,Day-Ahead Spot price €/MWh,Emissions of power production t CO2,Emission factor g/kWh
2019,1,2,23,01/02/2019 22:00:00,5210.50295383104,2020.66232050421,13826.8405867415,3043.05243109146,0,9284.45327591121,14031.5713584614,8012.28797117036,10439.8903617496,798.5,2246.06258505354,62334.8238445143,6579,5019,11598,0,615,2041,11,802,2,555,1500,1359,1865,6167,93,180,0,0,915,494,18,55.13,28948.9131299216,442.535917422159
2019,1,2,24,01/02/2019 23:00:00,5197.63420457538,2048.08559485391,12812.3789063627,2801.65465397394,0,9314.28586507911,13753.207691738,7146.21171432179,10953.4827695004,637,2228.15576342539,59271.0971638306,7621,3257,10878,0,0,1802,0,801,1,555,1580,1286,321,5481,325,484,0,0,1015,469,15,50.76,28104.5754260438,441.28242652502
2019,1,3,1,01/03/2019 00:00:00,5183.42496060558,2067.57055294449,12160.8244252571,3188.08977866,0,9491.77723592683,13785.4172223184,6729.68316454368,10773.9284238672,762.75,2153.04659492952,57580.5123590528,8716,3930,12646,262,0,2240,0,1200,0,398,2273,1777,350,5010,469,1322,0,0,825,437,13,42.91,27619.8552804878,438.130254449992
2019,1,3,2,01/03/2019 01:00:00,5148.84019698097,2081.64302267657,11589.3791016645,3795.30949579202,0,9518.60149677528,13984.1735939488,6804.38224169687,10804.2055966838,98,2196.81882557612,57308.3535717949,8713,4150,12863,285,0,1330,0,1194,0,411,2336,2116,471,6854,452,156,0,100,875,417,16,45.22,27974.451361184,440.947657794715
2019,1,3,3,01/03/2019 02:00:00,5138.92053609639,2062.51889714323,11175.3546304545,3752.84136833616,0,9519.85496690839,14172.455321488,6982.19852318109,10719.0670102755,55.25,2209.5028242294,57012.9640781127,8775,3849,12624,297,0,987,0,1200,10,498,2320,2185,299,6781,329,172,0,100,875,404,16,45.63,28311.8552264577,447.520538222886
2019,1,3,4,01/03/2019 03:00:00,5141.06532763901,2014.16733447402,11346.7627960537,4038.69408588993,0,9514.59039234934,13969.7709583234,6986.25825563507,10711.425701542,31.25,2205.7722363902,57954.7570882966,8005,3581,11586,309,0,651,0,1200,116,479,2293,2129,29,3937,6,2381,309,100,814,400,14,44,28085.7918692584,442.862090789081
2019,1,3,5,01/03/2019 04:00:00,5152.05738429489,2022.82731584761,11970.596965512,4128.59737325262,0,9512.33414610975,13781.7510968865,6975.97360008499,10795.5642879503,1.25,2222.68423459457,58724.6364045331,7839,3366,11205,297,0,939,0,1200,96,479,1962,2279,222,3309,50,2294,225,0,795,408,16,43.88,27929.383651146,436.26463752126
2019,1,3,6,01/03/2019 05:00:00,5152.59358218054,2071.90054363128,12423.7859137283,4350.12702056622,0,9516.34525053569,14101.4896077702,7990.90671357941,11221.0642879503,7.25,2207.51317738182,58832.9760973237,10210,3298,13508,303,0,1701,0,1216,31,451,1812,2126,448,4519,100,2758,2,0,891,434,14,45.92,29242.692103724,439.819031355608
2019,1,3,7,01/03/2019 06:00:00,5153.39787900902,2119.16960862879,12817.7195168636,4186.71165292906,0,9506.31748947085,14737.5623702079,10281.4077641136,12488.2843928084,409.5,2221.68941117078,62905.760085202,11016,2805,13821,0,0,1613,43,1210,10,984,1360,2000,460,5337,70,2245,0,0,849,432,13,51.07,32301.0647040334,456.305938719169
2019,1,3,8,01/03/2019 07:00:00,5200.85139188929,2087.05551103507,12963.4418891015,4089.60616851245,0,9465.45436313162,14447.6765949841,11968.3619231565,12915.311565625,789.5,2235.61693910379,68052.8763465393,8110,2423,10533,0,0,1192,1,1300,100,943,1660,1015,157,4188,0,1416,0,0,495,479,10,52.77,33542.4295216617,463.124354354432
